,animal,learning phase,average slope
0,BS_40,pre early,0.08768889567344107
1,BS_40,pre late,0.10164300786511864
2,BS_40,pre expert,
3,BS_40,post early,0.15817858071427252
4,BS_40,post late,0.20254432296151884
5,BS_40,post expert,0.14156522881728695
6,BS_41,pre early,-0.08552988211994061
7,BS_41,pre late,
8,BS_41,pre expert,-0.18614479680842366
9,BS_41,post early,0.6278627555978751
10,BS_41,post late,0.2070169676184379
11,BS_41,post expert,
12,BS_42,pre early,0.41655200835981504
13,BS_42,pre late,0.29282722052099847
14,BS_42,pre expert,0.4471458986054764
15,BS_42,post early,0.17755545017583976
16,BS_42,post late,0.3762915253568789
17,BS_42,post expert,0.08631192453370438
18,BS_49,pre early,0.05278044452810611
19,BS_49,pre late,0.11074066211572331
20,BS_49,pre expert,0.5209488623558263
21,BS_49,post early,
22,BS_49,post late,0.704965342436999
23,BS_49,post expert,
24,BS_50,pre early,0.11123556677021339
25,BS_50,pre late,0.1494783816686814
26,BS_50,pre expert,-0.0009460401603793578
27,BS_50,post early,
28,BS_50,post late,
29,BS_50,post expert,
30,BS_51,pre early,-0.016548892037022464
31,BS_51,pre late,
32,BS_51,pre expert,-0.5026168023551496
33,BS_51,post early,0.06262161742613931
34,BS_51,post late,0.8665907434026132
35,BS_51,post expert,-0.13989621912285605
36,BS_56,pre early,0.32312378969435657
37,BS_56,pre late,0.6808103620398512
38,BS_56,pre expert,-0.27457462741683525
39,BS_56,post early,0.10691148644774416
40,BS_56,post late,
41,BS_56,post expert,0.07135438908677523
42,BS_59,pre early,0.6425287627163723
43,BS_59,pre late,0.451990427693004
44,BS_59,pre expert,0.2743879659198697
45,BS_59,post early,0.2889220592000713
46,BS_59,post late,0.5797389899055555
47,BS_59,post expert,0.09883226833785017
48,BS_67,pre early,0.13881719983133645
49,BS_67,pre late,
50,BS_67,pre expert,-0.21692814966225368
51,BS_67,post early,0.3637041923287614
52,BS_67,post late,0.6321213671304349
53,BS_67,post expert,-0.37077115235246216
54,BS_70,pre early,0.3498228917222954
55,BS_70,pre late,1.0407878578588765
56,BS_70,pre expert,0.12279207493587929
57,BS_70,post early,0.07785782116723239
58,BS_70,post late,0.2136251271852595
59,BS_70,post expert,
60,BS_72,pre early,0.3180262649010278
61,BS_72,pre late,
62,BS_72,pre expert,0.599718724554789
63,BS_72,post early,0.2862406338811766
64,BS_72,post late,0.05283368064556901
65,BS_72,post expert,1.1135892849021145
66,BS_87,pre early,0.6015277106956368
67,BS_87,pre late,0.5386360071022779
68,BS_87,pre expert,0.11338626682933373
69,BS_87,post early,0.19641880128143857
70,BS_87,post late,0.8952288141875915
71,BS_87,post expert,-1.0427535009785949
72,BS_108,pre early,0.36455486429191464
73,BS_108,pre late,0.8568342419047319
74,BS_108,pre expert,0.26333452371486743
75,BS_108,post early,0.2406553756153304
76,BS_108,post late,0.2319392012874419
77,BS_108,post expert,1.0336117114230743
78,DS_15,pre early,0.085855097272959
79,DS_15,pre late,0.26862910196257966
80,DS_15,pre expert,-0.21204720989874937
81,DS_15,post early,0.0691599698114802
82,DS_15,post late,1.0355159426407217
83,DS_15,post expert,0.12517724688102186
84,DS_19,pre early,0.34746806051739604
85,DS_19,pre late,1.4193986375549175
86,DS_19,pre expert,-0.09588560699467036
87,DS_19,post early,0.07668808921006263
88,DS_19,post late,1.0603197902494264
89,DS_19,post expert,0.1331329809691437
