,animal,session,learning phase,average lick rate,average go lick rate,post-stimulus time limit
0,BS_108,BS_108_1_AC.pickle,pre expert,1.3629032258064515,1.898876404494382,0.25
1,BS_108,BS_108_2_AC.pickle,pre expert,0.9655172413793104,1.3176470588235294,0.25
2,BS_108,BS_108_3_AC.pickle,switch,0.864367816091954,1.6592920353982301,0.25
3,BS_108,BS_108_4_AC.pickle,post early,1.1612903225806452,1.565217391304348,0.25
4,BS_108,BS_108_6_AC.pickle,post early,1.2942528735632184,1.5552486187845305,0.25
5,BS_40,BS_40_10_AC.pickle,pre late,0.605,0.8807785888077859,0.25
6,BS_40,BS_40_11_AC.pickle,pre late,0.5044843049327354,0.7653061224489796,0.25
7,BS_40,BS_40_12_AC.pickle,pre expert,0.09433962264150944,0.3125,0.25
8,BS_40,BS_40_13_AC.pickle,nan,0.16981132075471697,0.75,0.25
9,BS_40,BS_40_14_AC.pickle,switch,0.4637964774951076,0.8943396226415095,0.25
10,BS_40,BS_40_15_AC.pickle,post early,0.5784883720930233,1.0153846153846153,0.25
11,BS_40,BS_40_16_AC.pickle,post early,1.0076726342710998,1.5511811023622046,0.25
12,BS_40,BS_40_18_AC.pickle,post early,0.3639705882352941,0.6578073089700996,0.25
13,BS_40,BS_40_19_AC.pickle,post late,0.5486542443064182,0.9265734265734266,0.25
14,BS_40,BS_40_21_AC.pickle,post expert,0.05434782608695652,0.3125,0.25
15,BS_40,BS_40_22_AC.pickle,post expert,0.18787878787878787,0.24031007751937986,0.25
16,BS_40,BS_40_2_AC.pickle,pre late,0.24489795918367346,0.48186528497409326,0.25
17,BS_40,BS_40_3_AC.pickle,pre late,0.20776255707762556,0.4891304347826087,0.25
18,BS_40,BS_40_4_AC.pickle,pre late,0.338,0.521875,0.25
19,BS_40,BS_40_5_AC.pickle,pre late,0.373015873015873,0.706766917293233,0.25
20,BS_40,BS_40_6_AC.pickle,pre late,0.41402337228714525,0.6449086161879896,0.25
21,BS_40,BS_40_7_AC.pickle,pre late,0.5983333333333334,0.9396325459317585,0.25
22,BS_40,BS_40_8_AC.pickle,pre late,0.32454361054766734,0.4553314121037464,0.25
23,BS_41,BS_41_11_AC.pickle,nan,1.1217038539553752,1.401015228426396,0.25
24,BS_41,BS_41_1_AC.pickle,switch,0.7411444141689373,1.1333333333333333,0.25
25,BS_41,BS_41_2_AC.pickle,post early,0.41361256544502617,0.88268156424581,0.25
26,BS_41,BS_41_3_AC.pickle,post late,1.4815533980582525,1.5764462809917354,0.25
27,BS_41,BS_41_4_AC.pickle,post late,0.6965648854961832,0.8732057416267942,0.25
28,BS_41,BS_41_5_AC.pickle,post late,0.9287128712871288,1.1596009975062345,0.25
29,BS_41,BS_41_6_AC.pickle,post late,1.0369127516778522,1.2484848484848485,0.25
30,BS_41,BS_41_7_AC.pickle,post late,1.160344827586207,1.4349680170575694,0.25
31,BS_41,BS_41_8_AC.pickle,post late,0.652,0.7708830548926014,0.25
32,BS_41,BS_41_9_AC.pickle,post late,1.4283333333333332,1.4956369982547992,0.25
33,BS_42,BS_42_10_AC.pickle,post expert,0.43891402714932126,0.941747572815534,0.25
34,BS_42,BS_42_11_AC.pickle,post expert,0.5036496350364964,0.8734177215189873,0.25
35,BS_42,BS_42_1_AC.pickle,switch,0.31,0.9337349397590361,0.25
36,BS_42,BS_42_2_AC.pickle,post early,0.982,1.0250521920668059,0.25
37,BS_42,BS_42_3_AC.pickle,post early,1.0733333333333333,1.1860036832412524,0.25
38,BS_42,BS_42_4_AC.pickle,post early,0.6818897637795276,0.9976958525345622,0.25
39,BS_42,BS_42_5_AC.pickle,post early,0.95,1.0555555555555556,0.25
40,BS_42,BS_42_6_AC.pickle,post late,0.7766666666666666,0.9119373776908023,0.25
41,BS_42,BS_42_7_AC.pickle,post late,1.1883333333333332,1.2043918918918919,0.25
42,BS_42,BS_42_8_AC.pickle,post expert,0.3615819209039548,0.5161290322580645,0.25
43,BS_42,BS_42_9_AC.pickle,post expert,0.35036496350364965,0.75,0.25
44,BS_49,BS_49_10_AC.pickle,pre late,0.5487804878048781,0.8823529411764706,0.25
45,BS_49,BS_49_12_AC.pickle,pre expert,0.4727272727272727,0.8863636363636364,0.25
46,BS_49,BS_49_13_AC.pickle,switch,1.4,1.627906976744186,0.25
47,BS_49,BS_49_14_AC.pickle,post late,0.9826086956521739,1.382262996941896,0.25
48,BS_49,BS_49_15_AC.pickle,post late,1.1772388059701493,1.356989247311828,0.25
49,BS_49,BS_49_16_AC.pickle,post expert,0.06557377049180328,0.23529411764705882,0.25
50,BS_49,BS_49_1_AC.pickle,pre early,0.5582655826558266,1.0098039215686274,0.25
51,BS_49,BS_49_2_AC.pickle,pre early,0.07529411764705882,0.29591836734693877,0.25
52,BS_49,BS_49_4_AC.pickle,pre early,0.03,0.5,0.25
53,BS_49,BS_49_5_AC.pickle,pre early,0.02666666666666667,0.4,0.25
54,BS_49,BS_49_6_AC.pickle,pre late,0.11538461538461539,1.2,0.25
55,BS_49,BS_49_7_AC.pickle,pre late,1.4038461538461537,1.4038461538461537,0.25
56,BS_49,BS_49_9_AC.pickle,pre late,0.9044117647058824,1.5185185185185186,0.25
57,BS_50,BS_50_10_AC.pickle,switch,0.6941176470588235,1.18,0.25
58,BS_50,BS_50_11_AC.pickle,nan,0.12406015037593984,0.4925373134328358,0.25
59,BS_50,BS_50_2_AC.pickle,pre early,0.3643410852713178,0.6527777777777778,0.25
60,BS_50,BS_50_3_AC.pickle,pre early,0.6685714285714286,1.0131004366812226,0.25
61,BS_50,BS_50_4_AC.pickle,pre late,0.3140794223826715,0.41148325358851673,0.25
62,BS_50,BS_50_6_AC.pickle,pre late,1.5638766519823788,1.7884130982367759,0.25
63,BS_50,BS_50_7_AC.pickle,pre late,1.6779661016949152,1.9327548806941433,0.25
64,BS_51,BS_51_2_AC.pickle,post expert,0.23443223443223443,0.5338983050847458,0.25
65,BS_51,BS_51_3_AC.pickle,nan,0.9080962800875274,1.360655737704918,0.25
66,BS_56,BS_56_1_AC.pickle,post expert,0.6648351648351648,1.1415094339622642,0.25
67,BS_56,BS_56_2_AC.pickle,post expert,1.1631578947368422,1.6102941176470589,0.25
68,BS_56,BS_56_3_AC.pickle,post expert,1.1925,1.452599388379205,0.25
69,BS_56,BS_56_4_AC.pickle,post expert,0.4122448979591837,0.8145161290322581,0.25
70,BS_56,BS_56_7_AC.pickle,nan,1.091566265060241,1.629496402877698,0.25
71,BS_67,BS_67_1_AC.pickle,post late,1.3728571428571428,1.3847262247838616,0.25
72,BS_67,BS_67_2_AC.pickle,post expert,0.27309236947791166,0.5619834710743802,0.25
73,BS_67,BS_67_3_AC.pickle,post expert,0.6387434554973822,0.953125,0.25
74,BS_70,BS_70_10_AC.pickle,post late,0.6036866359447005,0.9775280898876404,0.25
75,BS_70,BS_70_11_AC.pickle,post late,0.703125,1.0,0.25
76,BS_70,BS_70_12_AC.pickle,post late,0.4886128364389234,0.6413043478260869,0.25
77,BS_70,BS_70_13_AC.pickle,post expert,0.640926640926641,0.8258706467661692,0.25
78,BS_70,BS_70_1_AC.pickle,pre late,0.3930635838150289,0.4755244755244755,0.25
79,BS_70,BS_70_3_AC.pickle,pre expert,0.5131578947368421,0.8478260869565217,0.25
80,BS_70,BS_70_4_AC.pickle,switch,0.3153153153153153,0.4794520547945205,0.25
81,BS_70,BS_70_5_AC.pickle,post early,1.25,1.468609865470852,0.25
82,BS_70,BS_70_6_AC.pickle,post early,0.519893899204244,0.7935222672064778,0.25
83,BS_70,BS_70_7_AC.pickle,post late,0.9074550128534704,1.2652329749103943,0.25
84,BS_70,BS_70_8_AC.pickle,post late,0.7412731006160165,1.1797385620915033,0.25
85,BS_70,BS_70_9_AC.pickle,post late,0.4256619144602851,0.5277777777777778,0.25
86,BS_72,BS_72_10_AC.pickle,post late,0.47766323024054985,0.972027972027972,0.25
87,BS_72,BS_72_11_AC.pickle,post late,0.07203389830508475,0.7083333333333334,0.25
88,BS_72,BS_72_12_AC.pickle,post late,0.1978319783197832,0.9012345679012346,0.25
89,BS_72,BS_72_13_AC.pickle,post late,0.9128540305010894,1.123324396782842,0.25
90,BS_72,BS_72_1_AC.pickle,pre expert,0.5876777251184834,0.8482758620689655,0.25
91,BS_72,BS_72_2_AC.pickle,pre expert,0.5882352941176471,0.8771929824561403,0.25
92,BS_72,BS_72_3_AC.pickle,switch,0.9466666666666667,0.9964850615114236,0.25
93,BS_72,BS_72_4_AC.pickle,post early,0.7168367346938775,1.0446096654275092,0.25
94,BS_72,BS_72_5_AC.pickle,post late,1.034,1.1644144144144144,0.25
95,BS_72,BS_72_6_AC.pickle,post late,0.852,1.097938144329897,0.25
96,BS_72,BS_72_7_AC.pickle,post late,0.6721311475409836,1.0081967213114753,0.25
97,BS_72,BS_72_8_AC.pickle,post late,0.2857142857142857,0.7341772151898734,0.25
98,BS_72,BS_72_9_AC.pickle,post late,0.4492753623188406,0.8211920529801324,0.25
99,BS_87,BS_87_10_AC.pickle,post expert,0.8409090909090909,1.1935483870967742,0.25
100,BS_87,BS_87_11_AC.pickle,post expert,1.0282485875706215,1.3093525179856116,0.25
101,BS_87,BS_87_12_AC.pickle,nan,1.3037974683544304,1.4165029469548134,0.25
102,BS_87,BS_87_1_AC.pickle,pre expert,0.3983739837398374,0.7205882352941176,0.25
103,BS_87,BS_87_2_AC.pickle,pre expert,0.32061068702290074,0.5753424657534246,0.25
104,BS_87,BS_87_4_AC.pickle,post early,0.6674528301886793,0.956081081081081,0.25
105,BS_87,BS_87_5_AC.pickle,post early,0.9212410501193318,1.206896551724138,0.25
106,BS_87,BS_87_6_AC.pickle,post early,0.8019559902200489,1.2103321033210332,0.25
107,BS_87,BS_87_7_AC.pickle,post early,1.5771428571428572,1.5862068965517242,0.25
108,BS_87,BS_87_8_AC.pickle,post late,1.3826815642458101,1.4486803519061584,0.25
109,BS_87,BS_87_9_AC.pickle,post late,1.242798353909465,1.3333333333333333,0.25
110,DS_15,DS_15_11_AC.pickle,post late,0.63,0.7426326129666012,0.25
111,DS_15,DS_15_12_AC.pickle,post expert,0.5229357798165137,0.7402597402597403,0.25
112,DS_15,DS_15_13_AC.pickle,post expert,1.1725,1.2155844155844155,0.25
113,DS_15,DS_15_14_AC.pickle,post expert,0.30344827586206896,0.6515151515151515,0.25
114,DS_15,DS_15_15_AC.pickle,post expert,0.9834710743801653,1.1032863849765258,0.25
115,DS_15,DS_15_16_AC.pickle,post expert,0.9075907590759076,1.05019305019305,0.25
116,DS_15,DS_15_17_AC.pickle,post expert,0.8057851239669421,1.0601092896174864,0.25
117,DS_15,DS_15_1_AC.pickle,pre expert,0.7305389221556886,0.8840579710144928,0.25
118,DS_15,DS_15_2_AC.pickle,switch,0.5225,0.8851063829787233,0.25
119,DS_15,DS_15_3_AC.pickle,post early,0.8155555555555556,1.1094224924012157,0.25
120,DS_15,DS_15_4_AC.pickle,post early,0.8597402597402597,1.1614035087719299,0.25
121,DS_15,DS_15_5_AC.pickle,post early,0.9050279329608939,1.1696750902527075,0.25
122,DS_15,DS_15_6_AC.pickle,post early,0.6673469387755102,0.9476744186046512,0.25
123,DS_15,DS_15_7_AC.pickle,post early,0.7297297297297297,0.975,0.25
124,DS_15,DS_15_8_AC.pickle,post early,0.6254681647940075,0.8391959798994975,0.25
125,DS_15,DS_15_9_AC.pickle,post early,0.9734345351043643,1.1580135440180588,0.25
126,DS_19,DS_19_10_AC.pickle,post early,0.34366925064599485,0.5732758620689655,0.25
127,DS_19,DS_19_11_AC.pickle,post early,0.594,0.8505747126436781,0.25
128,DS_19,DS_19_12_AC.pickle,post late,0.6336842105263157,0.8426966292134831,0.25
129,DS_19,DS_19_14_AC.pickle,post expert,0.6654411764705882,0.9226804123711341,0.25
130,DS_19,DS_19_15_AC.pickle,post expert,0.5502392344497608,0.7450980392156863,0.25
131,DS_19,DS_19_16_AC.pickle,post expert,0.5823170731707317,0.8025210084033614,0.25
132,DS_19,DS_19_18_AC.pickle,post expert,0.43636363636363634,0.6464088397790055,0.25
133,DS_19,DS_19_19_AC.pickle,post expert,0.5190476190476191,0.6835443037974683,0.25
134,DS_19,DS_19_1_AC.pickle,pre expert,0.4940898345153664,0.7715355805243446,0.25
135,DS_19,DS_19_20_AC.pickle,post expert,0.46632124352331605,0.6492537313432836,0.25
136,DS_19,DS_19_2_AC.pickle,switch,0.3458498023715415,0.8373205741626795,0.25
137,DS_19,DS_19_3_AC.pickle,post early,0.5114638447971781,0.9602649006622517,0.25
138,DS_19,DS_19_4_AC.pickle,post early,0.4750830564784053,0.8606060606060606,0.25
139,DS_19,DS_19_5_AC.pickle,post early,0.5472560975609756,0.8753056234718827,0.25
140,DS_19,DS_19_6_AC.pickle,post early,0.47102803738317756,0.744807121661721,0.25
141,DS_19,DS_19_7_AC.pickle,post early,0.524390243902439,0.8157181571815718,0.25
142,DS_19,DS_19_8_AC.pickle,post early,0.4575971731448763,0.8274760383386581,0.25
143,DS_19,DS_19_9_AC.pickle,post early,0.3812405446293495,0.6613756613756614,0.25
144,AE_267,AE_267_10_opto_control_AC.pickle,nan,0.3106060606060606,0.6307692307692307,0.25
145,AE_267,AE_267_11_opto_control_AC.pickle,nan,0.3961038961038961,0.7439024390243902,0.25
146,AE_267,AE_267_1_opto_control_AC.pickle,nan,0.9870410367170627,1.1290322580645162,0.25
147,AE_267,AE_267_2_opto_control_AC.pickle,nan,0.8467532467532467,1.0550161812297734,0.25
148,AE_267,AE_267_3_opto_control_AC.pickle,nan,0.8770491803278688,1.0456026058631922,0.25
149,AE_267,AE_267_4_opto_control_AC.pickle,nan,0.8350515463917526,1.0730897009966778,0.25
150,AE_267,AE_267_5_opto_control_AC.pickle,nan,0.8696883852691218,1.137037037037037,0.25
151,AE_267,AE_267_6_opto_control_AC.pickle,nan,0.6585365853658537,0.9469964664310954,0.25
152,AE_267,AE_267_7_opto_control_AC.pickle,nan,0.6368876080691642,0.9650655021834061,0.25
153,AE_267,AE_267_8_opto_control_AC.pickle,nan,0.3023255813953488,0.5098039215686274,0.25
154,AE_267,AE_267_9_opto_control_AC.pickle,nan,0.4444444444444444,0.64,0.25
155,AE_287,AE_287_10_opto_control_AC.pickle,nan,0.5483870967741935,0.717948717948718,0.25
156,AE_287,AE_287_2_opto_control_AC.pickle,nan,0.5290102389078498,0.6888888888888889,0.25
157,AE_287,AE_287_3_opto_control_AC.pickle,nan,0.5754716981132075,0.6740331491712708,0.25
158,AE_287,AE_287_4_opto_control_AC.pickle,nan,0.6952595936794582,0.7866323907455013,0.25
159,AE_287,AE_287_5_opto_control_AC.pickle,nan,0.5544354838709677,0.5978260869565217,0.25
160,AE_287,AE_287_6_opto_control_AC.pickle,nan,0.6228571428571429,0.7077922077922078,0.25
161,AE_287,AE_287_7_opto_control_AC.pickle,nan,0.7383177570093458,0.7852882703777336,0.25
162,AE_287,AE_287_8_opto_control_AC.pickle,nan,0.2,0.3235294117647059,0.25
163,AE_287,AE_287_9_opto_control_AC.pickle,nan,0.31906614785992216,0.50625,0.25
164,AE_312,AE_312_1_opto_control_AC.pickle,nan,0.5871313672922251,0.7364864864864865,0.25
165,AE_312,AE_312_2_opto_control_AC.pickle,nan,0.7593457943925234,1.0062111801242235,0.25
166,AE_312,AE_312_4_opto_control_AC.pickle,nan,0.35714285714285715,0.5409836065573771,0.25
167,AE_312,AE_312_5_opto_control_AC.pickle,nan,0.5557553956834532,0.597678916827853,0.25
168,AE_312,AE_312_7_opto_control_AC.pickle,nan,0.0967741935483871,0.15789473684210525,0.25
169,AE_312,AE_312_8_opto_control_AC.pickle,nan,0.3904761904761905,0.6612903225806451,0.25
170,AE_351,AE_351_1_opto_control_AC.pickle,nan,0.3155737704918033,0.6178861788617886,0.25
171,AE_351,AE_351_2_opto_control_AC.pickle,nan,0.47058823529411764,0.6273584905660378,0.25
172,AE_351,AE_351_3_opto_control_AC.pickle,nan,0.44155844155844154,0.5730994152046783,0.25
173,AE_351,AE_351_4_opto_control_AC.pickle,nan,0.4292682926829268,0.5852842809364549,0.25
174,AE_351,AE_351_5_opto_control_AC.pickle,nan,0.3767123287671233,0.5343137254901961,0.25
175,AE_351,AE_351_6_opto_control_AC.pickle,nan,0.49523809523809526,0.6352357320099256,0.25
176,AE_351,AE_351_7_opto_control_AC.pickle,nan,0.4670781893004115,0.6181318681318682,0.25
177,AE_351,AE_351_8_opto_control_AC.pickle,nan,0.31,0.41333333333333333,0.25
178,AE_418,AE_418_1_opto_control_AC.pickle,nan,0.3313953488372093,0.5913978494623656,0.25
179,AE_418,AE_418_2_opto_control_AC.pickle,nan,0.2073732718894009,0.4945054945054945,0.25
180,AE_418,AE_418_3_opto_control_AC.pickle,nan,0.5,0.6818181818181818,0.25
181,AE_418,AE_418_4_opto_control_AC.pickle,nan,0.3770491803278688,0.5897435897435898,0.25
182,AE_418,AE_418_5_opto_control_AC.pickle,nan,0.1958762886597938,0.32727272727272727,0.25
183,AO_273,AO_273_10_opto_control_AC.pickle,nan,0.25360230547550433,0.348,0.25
184,AO_273,AO_273_11_opto_control_AC.pickle,nan,0.4720357941834452,0.5456919060052219,0.25
185,AO_273,AO_273_12_opto_control_AC.pickle,nan,0.22426470588235295,0.32275132275132273,0.25
186,AO_273,AO_273_13_opto_control_AC.pickle,nan,0.31386861313868614,0.40186915887850466,0.25
187,AO_273,AO_273_14_opto_control_AC.pickle,nan,0.05,0.1,0.25
188,AO_273,AO_273_15_opto_control_AC.pickle,nan,0.29194630872483224,0.48333333333333334,0.25
189,AO_273,AO_273_17_opto_control_AC.pickle,nan,0.32044198895027626,0.4666666666666667,0.25
190,AO_273,AO_273_1_opto_control_AC.pickle,nan,0.562929061784897,0.717201166180758,0.25
191,AO_273,AO_273_2_opto_control_AC.pickle,nan,0.48833333333333334,0.5447761194029851,0.25
192,AO_273,AO_273_4_opto_control_AC.pickle,nan,0.379746835443038,0.5244755244755245,0.25
193,AO_273,AO_273_5_opto_control_AC.pickle,nan,0.42954545454545456,0.5838509316770186,0.25
194,AO_273,AO_273_6_opto_control_AC.pickle,nan,0.2936344969199179,0.3566084788029925,0.25
195,AO_273,AO_273_7_opto_control_AC.pickle,nan,0.15517241379310345,0.36486486486486486,0.25
196,AO_273,AO_273_8_opto_control_AC.pickle,nan,0.2724014336917563,0.4367816091954023,0.25
197,AO_273,AO_273_9_opto_control_AC.pickle,nan,0.3269230769230769,0.4594594594594595,0.25
