,animal,start target go rate,end target go rate,condition
0,BS_86,74.42603852590317,78.94751894751896,opto
1,BS_119,62.30493337715973,88.17550862128068,opto
2,BS_123,52.21225857311786,85.94632917566632,opto
3,BS_128,67.12607052390335,58.895309915521004,opto
4,BS_131,44.789733776609445,80.98538398462054,opto
5,BS_163,69.49714536671058,86.94477910939197,opto
6,BS_174,83.64259882778401,97.09010029795627,opto
7,AE_267,77.00768411572555,89.34937611408198,control
8,AO_273,86.3580983015845,99.30555555555556,control
9,AE_287,77.30834740383135,93.88114620182131,control
10,AE_312,69.40729770866757,95.18518518518518,control
